 src_bytes, service, dst_bytes, diff_srv_rate, flag, same_srv_rate, dst_host_srv_count, dst_host_same_srv_rate, dst_host_diff_srv_rate, dst_host_serror_rate, classification.
0,other,0,1.0,REJ,0.0,1,0.0,0.94,0.15,Anormal
32,pop_3,93,1.0,SF,0.5,136,0.53,0.02,0.0,Anormal
0,telnet,44,0.0,SF,1.0,188,0.74,0.02,0.38,Anormal
0,telnet,44,0.0,S3,1.0,114,0.45,0.03,0.15,Anormal
30,pop_3,93,0.0,SF,1.0,255,1.0,0.0,0.0,Anormal
0,uucp_path,0,0.06,REJ,0.08,11,0.04,0.05,0.0,Anormal
335,http,282,0.0,SF,1.0,225,0.88,0.02,0.0,normal
30,pop_3,93,0.0,SF,1.0,232,0.91,0.04,0.0,Anormal
54540,http,8314,0.0,SF,1.0,254,1.0,0.01,0.0,Anormal
0,echo,0,0.07,RSTO,0.0,1,0.0,0.06,0.0,Anormal
28,private,0,0.0,SF,1.0,71,0.74,0.04,0.0,normal
0,other,0,1.0,REJ,0.0,1,0.0,1.0,0.07,Anormal
0,auth,0,0.07,REJ,0.03,8,0.03,0.07,0.0,Anormal
164,ftp,601,0.0,SF,1.0,60,0.24,0.03,0.11,Anormal
12,ftp_data,0,0.0,SF,1.0,25,1.0,0.0,0.0,Anormal
0,telnet,44,0.0,S3,1.0,132,0.52,0.44,0.41,Anormal
0,imap4,44,1.0,RSTO,0.5,15,0.06,0.03,0.0,Anormal
0,hostnames,0,0.06,REJ,0.06,17,0.07,0.07,0.0,Anormal
43,private,0,0.0,SF,1.0,255,1.0,0.0,0.0,Anormal
301,http,2507,0.0,SF,1.0,229,0.9,0.01,0.0,normal
55044,http,0,0.0,RSTR,1.0,255,1.0,0.0,0.0,Anormal
0,echo,0,0.07,RSTO,0.02,5,0.02,0.07,0.0,Anormal
0,imap4,0,1.0,REJ,0.5,14,0.05,0.03,0.0,Anormal
30,pop_3,93,0.0,SF,1.0,213,0.84,0.02,0.0,Anormal
32,pop_3,93,0.0,SF,1.0,136,0.53,0.02,0.0,Anormal
32,pop_3,93,0.0,SF,1.0,164,0.64,0.02,0.0,Anormal
0,telnet,44,0.0,SF,1.0,161,0.63,0.02,0.54,Anormal
72564,http,0,0.0,RSTR,1.0,237,0.93,0.01,0.0,Anormal
0,exec,0,0.2,S0,0.05,2,0.01,0.17,1.0,Anormal
32,pop_3,93,0.0,SF,1.0,237,0.93,0.01,0.0,Anormal
0,courier,0,0.07,S0,0.03,4,0.02,0.06,1.0,Anormal
345,http,6256,0.0,SF,1.0,255,1.0,0.0,0.0,normal
26,ftp,157,0.0,SF,1.0,85,0.47,0.03,0.0,Anormal
45260,http,2920,0.0,RSTR,1.0,254,1.0,0.01,0.0,Anormal
120,telnet,174,0.0,SF,1.0,229,0.9,0.02,0.0,Anormal
1032,ecr_i,0,0.0,SF,1.0,255,1.0,0.0,0.0,Anormal
122,telnet,174,0.0,SF,1.0,152,0.6,0.02,0.0,Anormal
44,domain_u,44,0.0,SF,1.0,255,1.0,0.0,0.0,normal
0,other,0,1.0,REJ,0.5,8,0.03,0.02,0.0,Anormal
0,private,0,1.0,REJ,0.0,1,0.0,1.0,0.05,Anormal
12,ftp_data,0,0.0,SF,1.0,11,1.0,0.0,0.0,Anormal
0,telnet,44,0.0,SF,1.0,211,0.83,0.02,0.28,Anormal
2599,smtp,293,0.5,SF,0.75,241,0.95,0.06,0.0,Anormal
45,domain_u,114,0.0,SF,1.0,225,0.88,0.01,0.0,normal
1,private,1,0.69,SF,0.01,1,0.0,0.53,0.0,Anormal
56504,http,1,0.0,RSTR,1.0,254,1.0,0.01,0.01,Anormal
0,telnet,15,0.0,RSTO,1.0,86,0.34,0.03,0.0,Anormal
47,private,0,0.0,SF,1.0,254,1.0,0.01,0.0,Anormal
125,telnet,174,0.0,SF,1.0,147,0.58,0.02,0.0,Anormal
2599,smtp,261,0.0,SF,1.0,246,0.96,0.04,0.0,Anormal
26,ftp,157,1.0,SF,0.5,48,0.53,0.04,0.0,Anormal
12,ftp_data,0,0.0,SF,1.0,13,1.0,0.0,0.0,Anormal
56504,http,0,0.0,RSTR,1.0,243,0.95,0.01,0.02,Anormal
283618,ftp_data,0,0.67,SF,0.67,16,0.06,0.03,0.0,Anormal
0,private,0,0.0,RSTR,1.0,1,0.0,0.88,0.0,Anormal
1050,smtp,391,0.0,SF,1.0,14,0.05,0.78,0.0,normal
44,domain_u,44,0.0,SF,1.0,234,0.92,0.01,0.0,normal
2599,smtp,293,0.0,SF,1.0,139,0.55,0.15,0.0,Anormal
54540,http,8314,0.0,SF,1.0,248,0.97,0.01,0.0,Anormal
0,other,0,1.0,S0,0.0,1,0.0,0.91,0.17,Anormal
0,imap4,0,1.0,REJ,0.5,56,0.28,0.07,0.0,Anormal
0,ftp_data,0,0.07,REJ,0.08,20,0.08,0.08,0.0,Anormal
508,ecr_i,0,0.0,SF,1.0,192,0.75,0.02,0.0,Anormal
120,telnet,174,0.0,SF,1.0,248,0.97,0.01,0.0,Anormal
0,finger,0,0.05,RSTO,0.5,21,0.08,0.65,0.0,Anormal
2599,smtp,293,0.0,SF,1.0,126,0.49,0.15,0.0,Anormal
337,http,103,0.0,SF,1.0,255,1.0,0.0,0.0,normal
0,telnet,44,0.0,SF,1.0,248,0.97,0.02,0.33,Anormal
0,uucp,0,0.06,RSTO,0.11,15,0.06,0.06,0.0,Anormal
56504,http,1,0.0,RSTR,1.0,243,0.95,0.01,0.02,Anormal
72564,http,0,0.0,RSTR,1.0,231,0.91,0.02,0.0,Anormal
1032,ecr_i,0,0.0,SF,1.0,129,0.51,0.01,0.0,Anormal
0,other,0,1.0,REJ,0.0,1,0.0,1.0,0.05,Anormal
0,private,0,0.06,REJ,0.06,8,0.06,0.06,0.0,Anormal
0,other,0,0.0,REJ,1.0,4,0.02,0.02,0.0,Anormal
47,private,44,0.0,SF,1.0,255,1.0,0.0,0.0,normal
1,private,0,0.98,SF,0.02,9,0.04,0.97,0.0,normal
0,imap4,0,0.1,S0,0.02,2,0.01,0.09,1.0,Anormal
44,domain_u,74,0.0,SF,1.0,254,1.0,0.01,0.0,normal
1032,ecr_i,0,0.0,SF,1.0,255,1.0,0.0,0.0,Anormal
0,imap4,44,1.0,RSTO,0.5,35,0.14,0.03,0.0,Anormal
0,imap4,0,1.0,REJ,0.5,53,0.26,0.19,0.0,Anormal
159,ftp,597,0.0,SF,1.0,25,0.1,0.02,0.0,Anormal
0,daytime,0,0.07,RSTO,0.0,1,0.0,0.07,0.0,Anormal
18,eco_i,0,0.0,SF,1.0,110,1.0,0.0,0.0,Anormal
120,telnet,174,0.0,SF,1.0,224,0.88,0.02,0.0,Anormal
687,ftp_data,0,0.0,SF,1.0,1,0.17,0.5,0.0,normal
44,domain_u,112,0.0,SF,1.0,243,0.95,0.01,0.0,normal
0,imap4,0,0.06,REJ,0.03,8,0.03,0.06,0.0,Anormal
1008,ecr_i,0,0.0,SF,1.0,255,1.0,0.0,0.0,Anormal
26,ftp,157,0.0,SF,1.0,29,0.52,0.07,0.0,Anormal
45,domain_u,128,0.0,SF,1.0,255,1.0,0.0,0.0,normal
105,private,146,0.0,SF,1.0,255,1.0,0.0,0.0,Anormal
0,http,0,0.0,S0,1.0,255,1.0,0.0,0.78,Anormal
54540,http,8314,0.0,SF,1.0,254,1.0,0.01,0.0,Anormal
305,http,2507,0.0,SF,1.0,255,1.0,0.0,0.84,normal
0,telnet,0,0.09,S0,0.01,1,0.0,0.09,1.0,Anormal
0,nntp,0,0.09,S0,0.03,5,0.02,0.09,1.0,Anormal
54540,http,8314,0.0,SF,1.0,255,1.0,0.0,0.01,Anormal
0,imap4,44,0.0,RSTO,1.0,6,0.02,0.03,0.0,Anormal
0,netstat,0,0.08,S0,0.08,17,0.07,0.08,1.0,Anormal
1,other,1,1.0,SF,0.01,1,0.0,1.0,0.0,Anormal
12,ftp_data,0,0.0,SF,1.0,29,1.0,0.0,0.0,Anormal
0,other,0,1.0,REJ,0.0,1,0.0,1.0,0.06,Anormal
0,ftp_data,0,0.07,REJ,0.08,18,0.07,0.08,0.01,Anormal
45,domain_u,128,0.0,SF,1.0,255,1.0,0.0,0.0,normal
28,pop_3,93,0.0,SF,1.0,248,0.97,0.01,0.0,Anormal
0,hostnames,0,0.06,REJ,0.02,6,0.02,0.07,0.0,Anormal
32,pop_3,93,0.0,SF,1.0,193,0.91,0.01,0.0,Anormal
26,pop_3,93,0.0,SF,1.0,248,0.97,0.02,0.0,Anormal
0,other,0,0.0,REJ,1.0,28,0.11,0.02,0.0,Anormal
520,ecr_i,0,0.0,SF,1.0,116,1.0,0.0,0.0,Anormal
552,urp_i,0,0.0,SF,1.0,1,0.0,0.02,0.0,Anormal
0,imap4,0,1.0,SF,0.5,57,0.2,0.12,0.0,Anormal
44,domain_u,81,0.0,SF,1.0,255,1.0,0.0,0.0,normal
1032,ecr_i,0,0.0,SF,1.0,61,0.24,0.73,0.12,Anormal
0,vmnet,0,0.06,S0,0.03,8,0.03,0.07,1.0,Anormal
124,telnet,174,0.0,SF,1.0,169,0.66,0.02,0.0,Anormal
0,telnet,15,0.0,SF,1.0,40,0.16,0.04,0.0,Anormal
0,bgp,0,0.06,REJ,0.01,2,0.01,0.06,0.0,Anormal
5,other,0,0.0,SF,1.0,21,0.08,0.02,0.0,Anormal
8,eco_i,0,0.0,SF,1.0,65,1.0,0.0,0.0,Anormal
0,other,0,0.0,REJ,1.0,17,0.14,0.06,0.0,Anormal
1032,ecr_i,0,0.0,SF,1.0,255,1.0,0.0,0.0,Anormal
1,private,1,0.97,SF,0.03,1,0.0,0.98,0.11,Anormal
4209,telnet,7919,0.0,SF,1.0,2,0.02,0.04,0.0,Anormal
0,private,0,0.0,SH,1.0,1,0.01,0.99,0.99,Anormal
0,nntp,0,0.1,S0,0.02,2,0.01,0.09,1.0,Anormal
40008,ecr_i,0,0.0,SF,1.0,102,1.0,0.0,0.0,normal
0,private,0,0.0,SH,1.0,1,0.01,0.99,0.99,Anormal
44,domain_u,44,0.0,SF,1.0,255,1.0,0.0,0.0,normal
1032,ecr_i,0,0.0,SF,1.0,255,1.0,0.0,0.0,Anormal
56504,http,0,0.0,RSTR,1.0,242,0.95,0.01,0.02,Anormal
31,pop_3,93,0.0,SF,1.0,231,0.91,0.02,0.0,Anormal
0,imap4,44,1.0,RSTO,0.33,59,0.27,0.05,0.06,Anormal
0,telnet,44,1.0,SF,0.5,229,0.9,0.11,0.5,Anormal
125,telnet,174,0.0,SF,1.0,133,0.52,0.02,0.0,Anormal
54540,http,8314,0.0,SF,1.0,254,1.0,0.01,0.0,Anormal
12,ftp_data,0,0.0,SF,1.0,19,0.92,0.17,0.0,Anormal
41,private,41,0.0,SF,1.0,254,1.0,0.01,0.0,Anormal
0,courier,0,0.06,REJ,0.07,8,0.03,0.05,0.0,Anormal
49,private,46,0.0,SF,1.0,255,1.0,0.0,0.0,normal
0,telnet,15,0.0,RSTO,1.0,58,0.23,0.02,0.0,Anormal
57964,http,0,0.0,RSTR,1.0,253,0.99,0.01,0.01,Anormal
0,telnet,0,0.0,REJ,1.0,85,0.33,0.03,0.0,Anormal
0,private,0,0.0,SH,1.0,1,0.01,1.0,1.0,Anormal
0,telnet,44,0.0,SF,1.0,240,0.94,0.02,0.27,Anormal
0,http_443,0,0.07,REJ,0.01,1,0.0,0.06,0.0,Anormal
0,http,0,0.0,S0,1.0,255,1.0,0.0,0.45,Anormal
50,private,0,0.0,SF,1.0,254,1.0,0.01,0.0,Anormal
0,telnet,44,0.0,S3,1.0,95,0.37,0.03,0.06,Anormal
0,finger,0,0.0,S0,1.0,1,1.0,0.0,1.0,Anormal
0,http,0,0.0,S0,1.0,255,1.0,0.0,0.78,Anormal
32,pop_3,93,0.0,SF,1.0,243,0.95,0.02,0.0,Anormal
8,eco_i,0,0.0,SF,1.0,18,1.0,0.0,0.0,Anormal
0,telnet,0,0.0,S0,1.0,85,0.34,0.02,1.0,Anormal
160,ftp,597,0.67,SF,0.33,1,0.0,0.04,0.0,Anormal
18,eco_i,0,0.0,SF,1.0,117,1.0,0.0,0.0,Anormal
10,finger,0,0.0,SF,1.0,1,0.0,0.06,0.0,normal
46,private,0,0.0,SF,1.0,254,1.0,0.01,0.0,Anormal
120,telnet,174,0.0,SF,1.0,81,0.32,0.02,0.0,Anormal
54540,http,8314,0.0,SF,1.0,248,0.97,0.01,0.0,Anormal
43,private,0,0.0,SF,1.0,254,1.0,0.01,0.0,Anormal
0,csnet_ns,0,0.06,REJ,0.06,17,0.07,0.06,0.0,Anormal
0,name,0,0.07,REJ,0.03,3,0.01,0.06,0.0,Anormal
0,telnet,3,0.0,RSTO,1.0,10,0.04,0.73,0.0,Anormal
120,telnet,174,0.0,SF,1.0,248,0.97,0.01,0.0,Anormal
0,private,0,1.0,REJ,0.0,1,0.0,1.0,0.04,Anormal
30,pop_3,93,0.0,SF,1.0,249,0.98,0.01,0.0,Anormal
0,private,0,0.54,RSTOS0,0.01,2,0.01,0.51,0.0,normal
12,ftp_data,0,0.0,SF,1.0,16,1.0,0.0,0.0,Anormal
0,login,0,0.06,RSTO,0.01,2,0.01,0.06,0.0,Anormal
45,domain_u,76,0.0,SF,1.0,220,0.91,0.01,0.0,normal
0,http,0,0.06,REJ,0.07,19,0.07,0.06,0.0,Anormal
0,http,0,0.0,S0,1.0,245,0.96,0.01,0.13,Anormal
105,private,146,0.0,SF,1.0,188,0.99,0.01,0.0,normal
12,ftp_data,0,0.0,SF,1.0,21,1.0,0.0,0.0,Anormal
1,private,1,0.42,SF,0.17,2,0.01,0.29,0.0,Anormal
26,pop_3,93,0.0,SF,1.0,248,0.97,0.01,0.0,Anormal
44,domain_u,44,0.0,SF,1.0,255,1.0,0.0,0.0,normal
126,telnet,174,0.0,SF,1.0,206,0.81,0.02,0.0,Anormal
42,domain_u,138,0.01,SF,0.99,254,1.0,0.01,0.0,normal
0,other,0,1.0,REJ,0.0,1,0.0,1.0,0.07,Anormal
54540,http,8314,0.0,SF,1.0,252,0.99,0.01,0.0,Anormal
55,private,50,0.0,SF,1.0,255,1.0,0.0,0.0,normal
1,telnet,15,0.0,S3,1.0,44,0.17,0.73,0.07,Anormal
54,private,52,0.0,SF,1.0,255,1.0,0.0,0.0,normal
24,telnet,109,0.75,SF,0.5,85,0.33,0.07,0.0,Anormal
1,private,1,0.96,SF,0.04,1,0.0,0.71,0.0,Anormal
158,ftp,593,0.0,SF,1.0,103,0.4,0.03,0.0,Anormal
0,telnet,0,0.0,S0,1.0,255,1.0,0.0,1.0,Anormal
0,other,0,1.0,REJ,0.0,1,0.0,0.98,0.12,Anormal
32,pop_3,93,0.0,SF,1.0,181,0.9,0.01,0.0,Anormal
26,ftp,157,0.0,SF,1.0,125,0.51,0.02,0.0,Anormal
32,pop_3,93,0.0,SF,1.0,42,0.98,0.05,0.0,Anormal
45,domain_u,141,0.02,SF,0.99,255,1.0,0.0,0.0,normal
45,domain_u,45,0.0,SF,1.0,224,0.88,0.01,0.0,normal
1032,ecr_i,0,0.0,SF,1.0,255,1.0,0.0,0.0,Anormal
0,klogin,0,0.06,S0,0.04,6,0.02,0.06,1.0,Anormal
0,http,0,0.0,S0,1.0,255,1.0,0.0,0.66,Anormal
45,domain_u,45,0.0,SF,1.0,224,0.88,0.01,0.0,normal
1032,ecr_i,0,0.0,SF,1.0,255,1.0,0.0,0.0,Anormal
2599,smtp,293,0.0,SF,1.0,247,0.97,0.04,0.0,Anormal
158,ftp,595,0.0,SF,1.0,94,0.37,0.03,0.0,Anormal
46,private,43,0.0,SF,1.0,254,1.0,0.01,0.0,normal
54540,http,8314,0.0,SF,1.0,255,1.0,0.0,0.01,Anormal
1008,ecr_i,0,0.0,SF,1.0,255,1.0,0.0,0.0,Anormal
0,telnet,15,0.0,SF,1.0,53,0.21,0.04,0.0,Anormal
160,ftp,599,0.0,SF,1.0,42,0.16,0.02,0.0,Anormal
57964,http,0,0.0,RSTR,1.0,255,1.0,0.0,0.0,Anormal
44,domain_u,75,0.0,SF,1.0,255,1.0,0.0,0.0,normal
44,domain_u,44,0.0,SF,1.0,236,0.93,0.01,0.0,normal
0,whois,0,0.06,REJ,0.08,16,0.06,0.06,0.0,Anormal
283618,ftp_data,0,0.0,SF,1.0,14,1.0,0.0,0.0,Anormal
55,private,52,0.0,SF,1.0,255,1.0,0.0,0.0,normal
32,pop_3,93,0.0,SF,1.0,234,0.92,0.02,0.0,Anormal
859,smtp,388,0.0,SF,1.0,15,0.06,0.88,0.0,normal
45,domain_u,76,0.0,SF,1.0,254,1.0,0.01,0.0,normal
123,telnet,174,0.0,SF,1.0,145,0.57,0.02,0.0,Anormal
0,private,0,0.06,REJ,0.06,9,0.05,0.06,0.0,Anormal
54540,http,8314,0.0,SF,1.0,255,1.0,0.0,0.0,Anormal
0,other,0,1.0,REJ,0.0,1,0.0,0.99,0.13,Anormal
0,uucp_path,0,0.09,S0,0.1,16,0.06,0.09,1.0,Anormal
1,private,1,0.5,SF,0.33,2,0.01,0.97,0.06,normal
0,other,0,1.0,S0,0.0,1,0.0,1.0,0.05,Anormal
0,http,0,0.0,S0,1.0,255,1.0,0.0,0.56,Anormal
0,time,0,0.06,RSTO,0.01,2,0.01,0.06,0.0,Anormal
334,http,284,0.0,SF,1.0,144,0.56,0.36,0.01,normal
0,telnet,44,0.0,SF,1.0,162,0.64,0.02,0.53,Anormal
25,ftp,157,0.0,SF,1.0,11,0.35,0.13,0.0,Anormal
72564,http,0,0.0,RSTR,1.0,243,0.95,0.01,0.02,Anormal
50,private,0,0.0,SF,1.0,255,1.0,0.0,0.0,Anormal
1032,ecr_i,0,0.0,SF,1.0,224,0.88,0.12,0.05,Anormal
44,domain_u,71,0.01,SF,1.0,254,1.0,0.01,0.0,normal
0,other,0,1.0,REJ,0.0,1,0.0,1.0,0.05,Anormal
105,private,147,0.0,SF,1.0,247,0.97,0.01,0.0,Anormal
283618,ftp_data,0,0.0,SF,1.0,2,1.0,0.0,0.0,Anormal
0,private,0,0.88,REJ,0.01,1,0.01,0.82,0.02,Anormal
43,domain_u,43,0.0,SF,1.0,255,1.0,0.0,0.0,normal
8,eco_i,0,0.0,SF,1.0,29,1.0,0.0,0.0,Anormal
0,link,0,0.06,REJ,0.06,16,0.06,0.06,0.0,Anormal
0,discard,0,0.1,S0,0.07,11,0.04,0.09,1.0,Anormal
0,sunrpc,0,0.0,REJ,1.0,17,0.07,0.03,0.0,Anormal
0,gopher,0,0.06,REJ,0.03,7,0.03,0.06,0.0,Anormal
0,other,0,1.0,REJ,0.0,1,0.0,1.0,0.0,Anormal
0,ftp_data,0,0.07,REJ,0.2,57,0.22,0.11,0.0,Anormal
78162,http,174,0.0,SF,1.0,255,1.0,0.0,0.0,normal
120,telnet,174,0.0,SF,1.0,254,1.0,0.01,0.02,Anormal
32,pop_3,93,0.0,SF,1.0,142,0.88,0.02,0.0,Anormal
30,pop_3,93,0.0,SF,1.0,246,0.96,0.03,0.0,Anormal
0,other,0,1.0,REJ,0.0,1,0.0,1.0,0.12,Anormal
162,ftp,597,0.0,SF,1.0,22,0.88,0.08,0.0,Anormal
30,pop_3,93,0.0,SF,1.0,245,0.96,0.01,0.0,Anormal
122,telnet,174,0.0,SF,1.0,30,0.12,0.02,0.0,Anormal
28,pop_3,93,0.0,SF,1.0,250,0.98,0.01,0.0,Anormal
43,private,43,0.0,SF,1.0,254,1.0,0.01,0.0,Anormal
0,smtp,83,0.0,SF,1.0,192,0.75,0.02,0.0,normal
0,domain,0,0.0,SH,1.0,3,0.01,1.0,1.0,Anormal
32,pop_3,93,0.0,SF,1.0,76,0.84,0.03,0.0,Anormal
0,http,0,0.1,REJ,0.95,20,0.08,0.75,0.0,Anormal
0,whois,0,0.06,REJ,0.04,11,0.04,0.07,0.0,Anormal
45,domain_u,143,0.0,SF,1.0,255,1.0,0.0,0.0,normal
0,http,0,0.0,S0,1.0,255,1.0,0.0,0.63,Anormal
30,pop_3,93,0.0,SF,1.0,222,0.87,0.04,0.0,Anormal
122,telnet,174,0.0,SF,1.0,25,0.1,0.02,0.0,Anormal
42,private,42,0.0,SF,1.0,254,1.0,0.01,0.0,Anormal
1032,ecr_i,0,0.0,SF,1.0,255,1.0,0.0,0.0,Anormal
0,ftp,0,0.06,RSTO,0.03,9,0.04,0.07,0.0,Anormal
0,telnet,15,0.0,RSTO,1.0,85,0.34,0.06,0.02,Anormal
0,domain,0,0.08,S0,0.09,17,0.07,0.08,1.0,Anormal
0,supdup,0,0.06,REJ,0.06,19,0.07,0.06,0.0,Anormal
0,sunrpc,0,1.0,REJ,0.25,51,0.17,0.17,0.0,Anormal
45,private,0,0.0,SF,1.0,255,1.0,0.0,0.0,Anormal
0,private,0,0.0,RSTR,1.0,1,0.0,0.47,0.12,Anormal
26,ftp,157,0.0,SF,1.0,87,0.47,0.03,0.0,Anormal
